W00201000386,IDP000038627,25 May 2015,(PA) Dihapuskan - Piutang Lunas,50.2318,24-Jun-10,5-Feb-10,12-Jun-09,"2008-181216 11 Jul 2008 JP
",B22D 18/04,"1) NICHIAS CORPORATION
2) TOYOTA JIDOSHA KABUSHIKI KAISHA"
W00201000674,IDP000040651,21 Mar 2016,(PA) Diberi Paten,50.171,27-May-10,1-Mar-10,29-Aug-08,"2007-230711 05 Sep 2007 JP
","B01D 11/02,B09B 3/00,C07H 1/08,C13K 1/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201000995,IDP000029039,18 Aug 2011,(PA) Diberi Paten,50.1938,3-Jun-10,26-Mar-10,28-Aug-08,"2007-225131 31 Aug 2007 JP
",B05B 5/16,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201001060,,01 Apr 2010,(PA) Dianggap Ditarik Kembali (Direktur),50.1889,3-Jun-10,,-,"2007-227880 03 Sep 2007 JP
",G01L 23/22,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201002388,IDP000039700,05 Nov 2015,(PA) Dihapuskan,50.3416,23-Sep-10,14-Jul-10,14-Jan-09,"2008-009770 18 Jan 2008 JP
","A47G 27/02,A61L 9/00,B01J 20/10,B60N 3/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201002390,IDP000049651,14 Feb 2018,(PA) Diberi Paten,50.3597,23-Sep-10,14-Jul-10,14-Jan-09,"2008-005980 15 Jan 2008 JP
",B60R 13/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201002815,,18 Aug 2010,(PA) Dianggap Ditarik Kembali (Direktur),50.3377,16-Sep-10,,-,"2008-012276 23 Jan 2008 JP
",C08C 19/00,"1) TOYOTA JIDOSHA KABUSHIKI KAISHA 
1, Toyota-cho, TOyota-shi, Aichi 471-8571, JAPAN
2) NATIONAL UNIVERSITY CORPORATION NAGAOKA UNIVERSITY OF TECHNOLOGY
603-1, Kamitomiokamachi, Nagaaoka-shi, Niigata 940-2188, JAPAN"
W00201004136,IDP000030879,14 May 2012,(PA) Diberi Paten,51.1292,10-Mar-11,1-Dec-10,2-Jun-09,"2008-145741 03 Jun 2008 JP
",C13K 1/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201004135,IDP000037870,20 Feb 2015,(PA) Diberi Paten,51.028,27-Jan-11,1-Dec-10,2-Jun-09,"2008-145737 03 Jun 2008 JP
",C13K 1/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201004139,IDP000034620,20 Sep 2013,(PA) Diberi Paten,51.3223,14-Jul-11,1-Dec-10,2-Jun-09,"2008-145732 03 Jun 2008 JP
",C13K 1/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201101209,IDP000036232,04 Jul 2014,(PA) Diberi Paten,51.3769,11-Aug-11,5-Apr-11,25-Sep-09,"2008-249147 26 Sep 2008 JP
",C10M 169/04,"1) AOKI SCIENCE INSTITUTE CO., LTD.
3) AISIN SEIKI KABUSHIKI KAISHA
2) TOYOTA JIDOSHA KABUSHIKI KAISHA"
