P00201100120,IDP000037010,10 Oct 2014,(PA) Dihapuskan,51.3885,25-Aug-11,21-Feb-11,21-Feb-11,"2010-037228 23 Feb 2010 JP
","F16H 59/00,F16H 63/00","HONDA MOTOR CO., LTD."
P00201300159,IDP000051752,09 Jul 2018,(PA) Diberi Paten,2014/00590,6-Mar-14,7-Mar-13,7-Mar-13,"JP2012-061496 19 Mar 2012 JP
","F02D 29/02,F02D 29/04","HONDA MOTOR CO., LTD."
P00201405068,IDP000057288,20 Mar 2019,(PA) Diberi Paten,2016/06136,11-Nov-16,26-Aug-14,26-Aug-14,"2013-177803 29 Aug 2013 JP
","B60T 7/02,B60T 7/06,B62J 99/00,B62L 3/04,G05G 1/30,G05G 25/00","HONDA MOTOR CO.,LTD."
P00201200688,,29 Aug 2012,(PA) Dianggap Ditarik Kembali (Direktur),2013/00688,28-Mar-13,,-,"2011-210224 27 Sep 2011 JP
",B60K 11/04,"HONDA MOTOR CO., LTD."
P00201100186,IDP000039328,07 Sep 2015,(PA) Dihapuskan,51.2371,19-May-11,25-Mar-11,25-Mar-11,"2010-084234 31 Mar 2010 JP
","F02B 21/02,F02D 15/04","HONDA MOTOR CO., LTD."
P00201300510,IDP000067421,17 Feb 2020,(PA) Diberi Paten,2014/01568,5-Jun-14,10-Jul-13,10-Jul-13,"2012-218154 28 Sep 2012 JP
","F01L 1/04,F01L 1/34,F01L 1/356,F01L 13/00,F02D 13/02","HONDA MOTOR CO., LTD."
P00201000657,IDP000032301,13 Nov 2012,(PA) Masa Tenggang Dihapuskan,51.3085,30-Jun-11,18-Oct-10,18-Oct-10,"2009-249060 29 Oct 2009 JP
","B23B 19/02,H01F 6/06,H01L 21/331,H02K 21/48","HONDA MOTOR CO., LTD."
P00201000495,IDP000041598,14 Apr 2016,(PA) Dihapuskan,51.1617,7-Apr-11,5-Aug-10,5-Aug-10,"2009-186505 11 Aug 2009 JP
",F02M 55/02,"HONDA MOTOR CO., LTD."
P00201000538,IDP000036269,10 Jul 2014,(PA) Diberi Paten,51.0924,3-Mar-11,23-Aug-10,23-Aug-10,"2009-197555 28 Aug 2009 JP
",B62J 23/00,"HONDA MOTOR CO., LTD."
P00201404026,IDP000058339,03 May 2019,(PA) Diberi Paten,2017/08448,4-Aug-17,2-Jul-14,2-Jul-14,"2013-175920 27 Aug 2013 JP
",F02M 35/16,"HONDA MOTOR CO., LTD."
P00201606389,IDP000057797,08 Apr 2019,(PA) Diberi Paten,2018/01389,9-Feb-18,23-Sep-16,23-Sep-16,"2015-186852 24 Sep 2015 JP
","F16H 61/00,F16H 61/662","HONDA MOTOR CO., LTD."
P00201200319,IDP000042137,22 Jul 2016,(PA) Diberi Paten,2012/04888,29-Nov-12,25-Apr-12,25-Apr-12,"2011-111545 18 May 2011 JP
","B62J 17/06,B62J 23/00,B62J 99/00","HONDA MOTOR CO., LTD."
P00201300010,IDP000047171,07 Aug 2017,(PA) Diberi Paten,2013/02758,25-Jul-13,4-Jan-13,4-Jan-13,"2012-014930 27 Jan 2012 JP
","B23K 31/00,G01N 23/04","HONDA MOTOR CO., LTD."
