Appnum,NOMOR PATEN,TANGGAL PEMBERIAN,STATUS,NOMOR PENGUMUMAN,TANGGAL PENGUMUMAN,TANGGAL PENERIMAAN,TANGGAL DIMULAI PELINDUNGAN,Prioritas,IPC,Pemegang Paten
P00201800396,,-,(PA) Persetujuan Direktur untuk Diberi,2018/07356,20 Jul 2018,,-,"2017-007877 19 Jan 2017 JP
","F02D 41/02,F02D 41/38,F02D 41/40,F02D 43/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201800512,IDP000070601,,(PA) Diberi Paten,2018/10265,21 Sep 2018,22 Jan 2018,22 Jan 2018,"2017-009616 23 Jan 2017 JP
",B60W 10/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201800513,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2018/10266,21 Sep 2018,,-,"2017-010644 24 Jan 2017 JP
","G01C 21/00,H04B 7/26",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201800613,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/09828,07 Sep 2018,,-,"JP2017-013145 27 Jan 2017 JP
",H02K 16/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201800698,,-,(PA) Ditarik Kembali oleh Pemohon,2018/09816,07 Sep 2018,,-,"JP 2017-015631 31 Jan 2017 JP
",B22C 9/10,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201800700,,-,(PA) Ketua Kelompok Pemeriksa Substantif,2018/09819,07 Sep 2018,,-,"JP2017-016056 31 Jan 2017 JP
",-,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201800838,IDP000071071,,(PA) Diberi Paten,2018/09824,07 Sep 2018,02 Feb 2018,02 Feb 2018,"JP 2017-018647 03 Feb 2017 JP
","B60N 2/427,B60R 21/207,B60R 21/231",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201800884,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2018/09826,07 Sep 2018,,-,"2017-022425 09 Feb 2017 JP
",B60L 3/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201800846,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2018/10308,21 Sep 2018,,-,"JP2017-019615 06 Feb 2017 JP
","F16D 65/092,F16D 65/12",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201801058,IDP000072509,,(PA) Diberi Paten,2018/10372,21 Sep 2018,13 Feb 2018,13 Feb 2018,"2017-024617 14 Feb 2017 JP
",F01P 7/16,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201801129,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2018/09917,07 Sep 2018,,-,"2017-026813 16 Feb 2017 JP
","B01D 53/34,F01N 3/08",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201801130,,-,(PA) Persetujuan Direktur untuk Ditarik Kembali,2018/09918,07 Sep 2018,,-,"2017-027090 16 Feb 2017 JP
",F01L 13/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201801131,IDP000069791,,(PA) Diberi Paten,2018/09919,07 Sep 2018,14 Feb 2018,14 Feb 2018,"JP 2017-026230 15 Feb 2017 JP
","B60G 11/12,B60G 7/02,F16F 1/38,F16F 15/08",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201801173,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/10335,21 Sep 2018,,-,"2017-027119 16 Feb 2017 JP
","F01P 3/16,F02F 1/40",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201801218,,-,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/09851,07 Sep 2018,,-,"2017-030443 21 Feb 2017 JP
","B60L 3/00,H02J 3/38",TOYOTA JIDOSHA KABUSHIKI KAISHA
